"Hood_ID","Assault","Auto Theft","Break and Enter","Robbery","Theft Over"
"1","1070","1185"," 500"," 306"," 194"
"2","1047"," 217"," 140"," 381","  15"
"3","225"," 62"," 86"," 92"," 10"
"4","283"," 83"," 62"," 74","  5"
"5","247"," 59"," 55"," 78","  5"
"6","451","186","145"," 89"," 18"
"7","375","176","165","135"," 18"
"8","148","109","105"," 41"," 16"
"9"," 94"," 86","168"," 19"," 14"
"10"," 65"," 74","108"," 36"," 12"
"11","250","111","118"," 72"," 16"
"12","71","42","87","25"," 7"
"13","208"," 50"," 82"," 20","  6"
"14","831","407","433","174","141"
"15","113"," 65","111"," 65"," 13"
"16","335","116","210"," 62"," 29"
"17","978","141","226"," 67"," 56"
"18","395"," 47","140"," 83"," 14"
"19","238"," 47","104"," 40","  8"
"20","151"," 59"," 96"," 28"," 27"
"21","534","273","205","137"," 67"
"22","404","153"," 88"," 79"," 18"
"23","191","127","104"," 72"," 19"
"24","1051"," 197"," 113"," 211","  42"
"25","1047"," 180"," 136"," 176","  26"
"26","1387"," 339"," 269"," 230","  55"
"27","1258"," 417"," 419"," 285"," 144"
"28","341"," 66"," 94"," 66","  4"
"29","179"," 65"," 65"," 40"," 11"
"30","342","102","110"," 77"," 19"
"31","572","209","230","100"," 87"
"32","338"," 96","156"," 95"," 17"
"33","205","172","157"," 31"," 17"
"34","293","122","175"," 47"," 29"
"35","338"," 89","182"," 35"," 17"
"36","411"," 85","203"," 79"," 22"
"37","237"," 42","100"," 26"," 10"
"38","211"," 83","152"," 32"," 20"
"39","220","163","396"," 62"," 47"
"40","223"," 77","333"," 43"," 48"
"41"," 86"," 30","183","  6"," 17"
"42","321"," 58","257"," 63"," 38"
"43","278"," 42"," 99"," 35"," 19"
"44","569"," 32"," 97"," 90"," 19"
"45","613","137","240","100"," 24"
"46","162"," 44"," 76"," 35"," 13"
"47","520","129","227","112"," 33"
"48","228"," 75","141"," 62"," 14"
"49","139"," 54","127"," 11","  9"
"50","530","110","230"," 84"," 44"
"51","720","140","344","149"," 61"
"52","350"," 77","160"," 32"," 29"
"53","208"," 43"," 93"," 16"," 15"
"54","526"," 42","134"," 68"," 23"
"55","371"," 38","107"," 48"," 36"
"56","156"," 30","138"," 38"," 22"
"57","144"," 15"," 62"," 20","  4"
"58","289"," 22"," 93"," 41"," 13"
"59","194"," 30"," 98"," 24","  5"
"60","191"," 12"," 96"," 34"," 12"
"61","377"," 35","156"," 87"," 10"
"62","743"," 85","340","146"," 35"
"63","347"," 46","171"," 91"," 23"
"64","303"," 24","127"," 41"," 10"
"65","378"," 58","167"," 56"," 25"
"66","528"," 46","195","127"," 23"
"67","306"," 31","156"," 62"," 11"
"68","155"," 26","126","103"," 12"
"69","209"," 16"," 70"," 44","  3"
"70","763"," 91","396","171"," 74"
"71","435"," 42","266","105"," 23"
"72","481"," 35","129"," 74"," 19"
"73","1551","  79"," 480"," 460","  56"
"74","693"," 60","279","122"," 33"
"75","3003"," 122"," 721"," 674"," 142"
"76","1891","  79"," 410"," 212"," 140"
"77","2955"," 187"," 752"," 228"," 191"
"78","1532"," 108"," 391"," 285","  95"
"79","600"," 46","226","125"," 23"
"80","321"," 69","155"," 67"," 18"
"81","599"," 58","230"," 73"," 27"
"82","629"," 71","245"," 47"," 53"
"83","249"," 26"," 81"," 69"," 17"
"84","319"," 44","140"," 31"," 11"
"85","639"," 58","189"," 93"," 24"
"86","672"," 62","211","124"," 23"
"87","262"," 48","135"," 68"," 20"
"88","460"," 40","168","137"," 14"
"89","185"," 64","102"," 74","  6"
"90","408"," 97","157"," 69"," 19"
"91","345"," 62"," 73"," 49"," 17"
"92","371"," 47","101","108"," 10"
"93","1072"," 131"," 355"," 249","  40"
"94","231"," 54","137"," 49"," 14"
"95","1222","  81"," 589"," 260"," 122"
"96","160"," 19","117"," 26"," 25"
"97","93","12","67"," 6","12"
"98","639"," 63","346","122"," 44"
"99","152"," 34"," 85"," 18"," 11"
"100","114"," 17"," 82"," 33","  9"
"101"," 70"," 35","142","  5"," 17"
"102","171"," 46","149"," 37"," 15"
"103"," 77"," 78","194"," 19"," 13"
"104","550"," 32","235"," 79"," 25"
"105","112"," 83","135"," 16"," 17"
"106","115"," 50"," 96"," 19"," 13"
"107","381"," 53","109"," 75","  9"
"108","483"," 74","153","130"," 22"
"109","161"," 28"," 49"," 24","  6"
"110","190"," 66"," 54"," 73","  7"
"111","507","157","138","166"," 23"
"112","267"," 46"," 81"," 78"," 11"
"113","632","164","174","146"," 16"
"114","78","18","40"," 9"," 3"
"115","418"," 80"," 95","118","  8"
"116","177"," 98","212"," 44"," 17"
"117","640"," 90","290","177"," 27"
"118","375"," 81","205"," 88"," 24"
"119","985","225","391","166"," 62"
"120","964","137","425","188"," 37"
"121","637"," 63","259","154"," 22"
"122","627"," 57","308"," 78"," 20"
"123","407"," 56","197","104"," 17"
"124","823"," 68","166","183"," 16"
"125","417"," 42","131"," 68"," 14"
"126","676","167","332","156"," 28"
"127","961","190","297","296"," 52"
"128","452","122","285","116"," 53"
"129","302"," 92","222","115"," 22"
"130","370","172","381","147"," 56"
"131","758","184","303","158"," 50"
"132","1023"," 139"," 203"," 204","  27"
"133","153"," 19"," 60"," 21","  5"
"134","357"," 72","137"," 92"," 13"
"135","497"," 56"," 83"," 64","  3"
"136","1551","  86"," 311"," 272","  30"
"137","1511"," 160"," 427"," 356","  64"
"138","864","105","265","224"," 21"
"139","636"," 64","163","111"," 12"
"140","193"," 13"," 64"," 39","  9"
